movieId,title,genres,rating,genre,year_y,score,director,writer,star,country,company
1,toy story,Adventure|Animation|Children|Comedy|Fantasy,G,Animation,1995,8.3,John Lasseter,John Lasseter,Tom Hanks,United States,Walt Disney Pictures
2,jumanji,Adventure|Children|Fantasy,PG,Adventure,1995,7.0,Joe Johnston,Jonathan Hensleigh,Robin Williams,United States,TriStar Pictures
3,grumpier old men,Comedy|Romance,PG-13,Comedy,1995,6.7,Howard Deutch,Mark Steven Johnson,Walter Matthau,United States,Lancaster Gate
4,waiting to exhale,Comedy|Drama|Romance,R,Comedy,1995,6.0,Forest Whitaker,Terry McMillan,Whitney Houston,United States,Twentieth Century Fox
5,father of the bride part ii,Comedy,PG,Comedy,1995,6.1,Charles Shyer,Albert Hackett,Steve Martin,United States,Sandollar Productions
6,heat,Action|Crime|Thriller,R,Action,1986,5.6,Dick Richards,William Goldman,Burt Reynolds,United States,Escalante Productions
6,heat,Action|Crime|Thriller,R,Crime,1995,8.2,Michael Mann,Michael Mann,Al Pacino,United States,Warner Bros.
7,sabrina,Comedy|Romance,PG,Comedy,1995,6.3,Sydney Pollack,Samuel A. Taylor,Harrison Ford,Germany,Constellation Entertainment
915,sabrina,Comedy|Romance,PG,Comedy,1995,6.3,Sydney Pollack,Samuel A. Taylor,Harrison Ford,Germany,Constellation Entertainment
8,tom and huck,Adventure|Children,PG,Adventure,1995,5.5,Peter Hewitt,Mark Twain,Jonathan Taylor Thomas,United States,Walt Disney Pictures
9,sudden death,Action,R,Action,1985,4.8,Sig Shore,Sig Shore,Denise Coward,United States,Lodestar Productions
9,sudden death,Action,R,Action,1995,5.8,Peter Hyams,Karen Elise Baldwin,Jean-Claude Van Damme,United States,Universal Pictures
10,goldeneye,Action|Adventure|Thriller,PG-13,Action,1995,7.2,Martin Campbell,Ian Fleming,Pierce Brosnan,United Kingdom,Eon Productions
12,dracula: dead and loving it,Comedy|Horror,PG-13,Comedy,1995,5.9,Mel Brooks,Mel Brooks,Leslie Nielsen,France,Gaumont
13,balto,Adventure|Animation|Children,G,Animation,1995,7.1,Simon Wells,Cliff Ruby,Kevin Bacon,United States,Amblimation
14,nixon,Drama,R,Biography,1995,7.1,Oliver Stone,Stephen J. Rivele,Anthony Hopkins,United States,Cinergi Pictures Entertainment
15,cutthroat island,Action|Adventure|Romance,PG-13,Action,1995,5.7,Renny Harlin,Michael Frost Beckner,Geena Davis,France,Beckner/Gorman Productions
16,casino,Crime|Drama,R,Crime,1995,8.2,Martin Scorsese,Nicholas Pileggi,Robert De Niro,United States,Universal Pictures
17,sense and sensibility,Drama|Romance,PG,Drama,1995,7.7,Ang Lee,Jane Austen,Emma Thompson,United States,Columbia Pictures
18,four rooms,Comedy,R,Comedy,1995,6.8,Directors,Allison Anders,Tim Roth,United States,Miramax
19,ace ventura: when nature calls,Comedy,PG-13,Adventure,1995,6.4,Steve Oedekerk,Jack Bernstein,Jim Carrey,United States,Morgan Creek Entertainment
20,money train,Action|Comedy|Crime|Drama|Thriller,R,Action,1995,5.7,Joseph Ruben,Doug Richardson,Wesley Snipes,United States,Columbia Pictures
